"file","simulator","run_id","sparsity_label","stored_achieved_sparsity","recomputed_zero_frac","n_genes","n_cells","error","deviation","stored_vs_recomputed_diff"
"data/simulated/sce/scdesign3/scdesign3_sce_run_00072.rds","scdesign3",72,0.8,0.8969,0.8969125,2000,200,NA,0.0969125,1.24999999999709e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00076.rds","scdesign3",76,0.7,0.9696,0.9696075,2000,200,NA,0.2696075,7.49999999993811e-06
"data/simulated/sce/scdesign3/scdesign3_sce_run_00077.rds","scdesign3",77,0.8,0.9745,0.9744775,2000,200,NA,0.1744775,2.25000000000364e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00078.rds","scdesign3",78,0.9,0.9801,0.98012,2000,200,NA,0.08012,2.000000000002e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00079.rds","scdesign3",79,0.95,0.9863,0.986335,2000,200,NA,0.036335,3.50000000000072e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00081.rds","scdesign3",81,0.7,0.9243,0.9242825,2000,200,NA,0.2242825,1.75000000000036e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00082.rds","scdesign3",82,0.8,0.9353,0.935275,2000,200,NA,0.135275,2.50000000000528e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00083.rds","scdesign3",83,0.9,0.9502,0.950215,2000,200,NA,0.050215,1.49999999999872e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00086.rds","scdesign3",86,0.7,0.9195,0.9195275,2000,200,NA,0.2195275,2.75000000000691e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00087.rds","scdesign3",87,0.8,0.931,0.9310025,2000,200,NA,0.1310025,2.49999999990536e-06
"data/simulated/sce/scdesign3/scdesign3_sce_run_00088.rds","scdesign3",88,0.9,0.947,0.947035,2000,200,NA,0.0470349999999999,3.50000000000072e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00091.rds","scdesign3",91,0.7,0.9432,0.943165,2000,200,NA,0.243165,3.50000000000072e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00092.rds","scdesign3",92,0.8,0.9517,0.95172,2000,200,NA,0.15172,2.000000000002e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00093.rds","scdesign3",93,0.9,0.9631,0.9630525,2000,200,NA,0.0630525,4.74999999999781e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00096.rds","scdesign3",96,0.7,0.8591,0.85907,2000,200,NA,0.15907,2.99999999999745e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00097.rds","scdesign3",97,0.8,0.8802,0.8801925,2000,200,NA,0.0801925,7.49999999993811e-06
"data/simulated/sce/scdesign3/scdesign3_sce_run_00101.rds","scdesign3",101,0.7,0.8648,0.8647875,2000,200,NA,0.1647875,1.24999999999709e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00102.rds","scdesign3",102,0.8,0.8852,0.8851675,2000,200,NA,0.0851675,3.24999999999909e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00106.rds","scdesign3",106,0.7,0.9491,0.949065,2000,200,NA,0.249065,3.50000000000072e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00107.rds","scdesign3",107,0.8,0.9566,0.9566125,2000,200,NA,0.1566125,1.24999999999709e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00108.rds","scdesign3",108,0.9,0.9665,0.9665,2000,200,NA,0.0665,0
"data/simulated/sce/scdesign3/scdesign3_sce_run_00111.rds","scdesign3",111,0.7,0.8734,0.87337,2000,200,NA,0.17337,2.99999999999745e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00112.rds","scdesign3",112,0.8,0.8924,0.892375,2000,200,NA,0.092375,2.49999999999417e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00116.rds","scdesign3",116,0.7,0.8782,0.8781625,2000,200,NA,0.1781625,3.75000000000236e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00117.rds","scdesign3",117,0.8,0.8971,0.8970825,2000,200,NA,0.0970825,1.75000000000036e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00121.rds","scdesign3",121,0.7,0.9659,0.9658625,2000,200,NA,0.2658625,3.75000000000236e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00122.rds","scdesign3",122,0.8,0.9713,0.97133,2000,200,NA,0.17133,2.99999999999745e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00123.rds","scdesign3",123,0.9,0.978,0.9780275,2000,200,NA,0.0780275,2.75000000000691e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00124.rds","scdesign3",124,0.95,0.9849,0.9849325,2000,200,NA,0.0349325,3.24999999999909e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00126.rds","scdesign3",126,0.7,0.9152,0.91518,2000,200,NA,0.21518,2.000000000002e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00127.rds","scdesign3",127,0.8,0.9278,0.9277775,2000,200,NA,0.1277775,2.24999999999254e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00128.rds","scdesign3",128,0.9,0.9451,0.9451225,2000,200,NA,0.0451225,2.24999999999254e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00131.rds","scdesign3",131,0.7,0.9192,0.9192475,2000,200,NA,0.2192475,4.74999999999781e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00132.rds","scdesign3",132,0.8,0.9304,0.9304125,2000,200,NA,0.1304125,1.24999999999709e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00133.rds","scdesign3",133,0.9,0.9472,0.9472325,2000,200,NA,0.0472325,3.24999999999909e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00136.rds","scdesign3",136,0.7,0.9504,0.9504185,2000,1000,NA,0.2504185,1.85000000000324e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00137.rds","scdesign3",137,0.8,0.9578,0.9578465,2000,1000,NA,0.1578465,4.65000000000604e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00138.rds","scdesign3",138,0.9,0.9679,0.967883,2000,1000,NA,0.067883,1.69999999999337e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00141.rds","scdesign3",141,0.7,0.8621,0.8621215,2000,1000,NA,0.1621215,2.15000000000076e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00142.rds","scdesign3",142,0.8,0.8829,0.882907,2000,1000,NA,0.082907,6.99999999997925e-06
"data/simulated/sce/scdesign3/scdesign3_sce_run_00146.rds","scdesign3",146,0.7,0.8613,0.861301,2000,1000,NA,0.161301,1.00000000002876e-06
"data/simulated/sce/scdesign3/scdesign3_sce_run_00147.rds","scdesign3",147,0.8,0.8822,0.8822,2000,1000,NA,0.0821999999999999,0
"data/simulated/sce/scdesign3/scdesign3_sce_run_00151.rds","scdesign3",151,0.7,0.9554,0.955354,2000,1000,NA,0.255354,4.59999999999905e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00152.rds","scdesign3",152,0.8,0.9621,0.962139,2000,1000,NA,0.162139,3.90000000000112e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00153.rds","scdesign3",153,0.9,0.9711,0.9711475,2000,1000,NA,0.0711475,4.75000000000891e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00156.rds","scdesign3",156,0.7,0.8759,0.875936,2000,1000,NA,0.175936,3.6000000000036e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00157.rds","scdesign3",157,0.8,0.8946,0.8945975,2000,1000,NA,0.0945975,2.49999999990536e-06
"data/simulated/sce/scdesign3/scdesign3_sce_run_00161.rds","scdesign3",161,0.7,0.8752,0.875183,2000,1000,NA,0.175183,1.69999999999337e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00162.rds","scdesign3",162,0.8,0.8938,0.8938135,2000,1000,NA,0.0938135,1.34999999999996e-05
