"file","simulator","run_id","sparsity_label","depth_label","dropout","separability","recomputed_zero_frac","sparsity_zscore","sparsity_flag","mean_umi_per_cell","depth_zscore","depth_flag","mean_abs_log2fc","separability_flag","overall_flag"
"data/simulated/sce/scdesign3/scdesign3_sce_run_00025.rds","scdesign3",25,0.98,"2000","low","low",0.968225,-0.507762160936125,FALSE,439.175,-0.110536152382294,FALSE,0.174365846955657,FALSE,FALSE
"data/simulated/sce/scdesign3/scdesign3_sce_run_00026.rds","scdesign3",26,0.7,"10000","low","low",0.8752975,0.228311958079902,FALSE,8583.935,-0.444001079708578,FALSE,0.410431694130401,TRUE,TRUE
"data/simulated/sce/scdesign3/scdesign3_sce_run_00027.rds","scdesign3",27,0.8,"10000","low","low",0.8941425,0.272061862432538,FALSE,7329.115,-0.404290892043503,FALSE,0.410431694130401,TRUE,TRUE
"data/simulated/sce/scdesign3/scdesign3_sce_run_00028.rds","scdesign3",28,0.9,"10000","low","low",0.9194125,0.34140943988855,FALSE,5575.13,-0.370644632963712,FALSE,0.410431694130401,TRUE,TRUE
"data/simulated/sce/scdesign3/scdesign3_sce_run_00029.rds","scdesign3",29,0.95,"10000","low","low",0.9440025,0.270778620089758,FALSE,3893.135,-0.251548281609259,FALSE,0.410431694130401,TRUE,TRUE
"data/simulated/sce/scdesign3/scdesign3_sce_run_00030.rds","scdesign3",30,0.98,"10000","low","low",0.969065,0.46645054970938,FALSE,2191.56,-0.0910667235216537,FALSE,0.410431694130401,TRUE,TRUE
"data/simulated/sce/scdesign3/scdesign3_sce_run_00031.rds","scdesign3",31,0.7,"500","high","low",0.9708875,0.80824551681216,FALSE,240.28,-0.429068431630709,FALSE,0.0563750573517408,FALSE,FALSE
"data/simulated/sce/scdesign3/scdesign3_sce_run_00032.rds","scdesign3",32,0.8,"500","high","low",0.9748775,0.609481206581032,FALSE,211.38,0.287936000690198,FALSE,0.0563750573517408,FALSE,FALSE
"data/simulated/sce/scdesign3/scdesign3_sce_run_00033.rds","scdesign3",33,0.9,"500","high","low",0.9810875,0.810830426292972,FALSE,156.955,-0.203403657560744,FALSE,0.0563750573517408,FALSE,FALSE
"data/simulated/sce/scdesign3/scdesign3_sce_run_00034.rds","scdesign3",34,0.95,"500","high","low",0.9868325,0.716545944544891,FALSE,111.01,0.0939474591399566,FALSE,0.0563750573517408,FALSE,FALSE
"data/simulated/sce/scdesign3/scdesign3_sce_run_00035.rds","scdesign3",35,0.98,"500","high","low",0.9925625,0.469918769951347,FALSE,60.335,-0.354371027884698,FALSE,0.0563750573517408,FALSE,FALSE
