"bcv_common","actual_sparsity"
0.01,0.9138
0.05,0.9147
0.1,0.9157
0.2,0.9179
0.3,0.9204
0.5,0.925
0.8,0.9316
1,0.9359
1.5,0.9447
2,0.9518
3,0.9623
