"sigma","mean_sparsity","mean_umi"
0.1,0.6347,3701.5
0.2,0.6333,3689.6
0.4,0.6298,3690.2
0.6,0.6226,3589.1
0.8,0.6358,3747.2
1,0.658,3790.5
1.5,0.6432,3658.2
2,0.6399,3675
