"run_id","sparsity","depth","dropout","separability","n_cells","n_groups","batch","gene_strategy","clipping","is_null_control"
105,0.98,10000,"none","high",200,5,"none","all","none",FALSE
106,0.7,500,"high","high",200,5,"none","all","none",FALSE
107,0.8,500,"high","high",200,5,"none","all","none",FALSE
108,0.9,500,"high","high",200,5,"none","all","none",FALSE
109,0.95,500,"high","high",200,5,"none","all","none",FALSE
110,0.98,500,"high","high",200,5,"none","all","none",FALSE
111,0.7,2000,"high","high",200,5,"none","all","none",FALSE
112,0.8,2000,"high","high",200,5,"none","all","none",FALSE
113,0.9,2000,"high","high",200,5,"none","all","none",FALSE
114,0.95,2000,"high","high",200,5,"none","all","none",FALSE
115,0.98,2000,"high","high",200,5,"none","all","none",FALSE
116,0.7,10000,"high","high",200,5,"none","all","none",FALSE
117,0.8,10000,"high","high",200,5,"none","all","none",FALSE
118,0.9,10000,"high","high",200,5,"none","all","none",FALSE
119,0.95,10000,"high","high",200,5,"none","all","none",FALSE
120,0.98,10000,"high","high",200,5,"none","all","none",FALSE
121,0.7,500,"low","high",200,5,"none","all","none",FALSE
122,0.8,500,"low","high",200,5,"none","all","none",FALSE
123,0.9,500,"low","high",200,5,"none","all","none",FALSE
124,0.95,500,"low","high",200,5,"none","all","none",FALSE
125,0.98,500,"low","high",200,5,"none","all","none",FALSE
126,0.7,2000,"low","high",200,5,"none","all","none",FALSE
127,0.8,2000,"low","high",200,5,"none","all","none",FALSE
128,0.9,2000,"low","high",200,5,"none","all","none",FALSE
129,0.95,2000,"low","high",200,5,"none","all","none",FALSE
130,0.98,2000,"low","high",200,5,"none","all","none",FALSE
131,0.7,10000,"low","high",200,5,"none","all","none",FALSE
132,0.8,10000,"low","high",200,5,"none","all","none",FALSE
133,0.9,10000,"low","high",200,5,"none","all","none",FALSE
134,0.95,10000,"low","high",200,5,"none","all","none",FALSE
135,0.98,10000,"low","high",200,5,"none","all","none",FALSE
136,0.7,500,"none","low",1000,5,"none","all","none",FALSE
