"bcv_common","actual_sparsity"
0.05,0.7581
0.1,0.7613
0.15,0.7647
0.2,0.7683
0.3,0.775
0.5,0.7892
0.8,0.8093
1,0.8221
1.5,0.8512
2,0.8744
