"mean_abs_log2fc","p90_abs_log2fc","n_groups","status","error_msg","file_path"
0.252166489337209,0.602622409335342,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00054.rds"
0.252166489337209,0.602622409335342,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00055.rds"
0.605645942284043,1.37793097069293,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00056.rds"
0.605645942284043,1.37793097069293,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00057.rds"
0.605645942284043,1.37793097069293,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00058.rds"
0.605645942284043,1.37793097069293,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00059.rds"
0.605645942284043,1.37793097069293,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00060.rds"
0.0835167283720214,0.208252162820997,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00061.rds"
0.0835167283720214,0.208252162820997,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00062.rds"
0.0835167283720214,0.208252162820997,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00063.rds"
0.0835167283720214,0.208252162820997,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00064.rds"
0.0835167283720214,0.208252162820997,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00065.rds"
0.252166489337209,0.602622409335342,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00066.rds"
0.252166489337209,0.602622409335342,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00067.rds"
0.252166489337209,0.602622409335342,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00068.rds"
0.252166489337209,0.602622409335342,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00069.rds"
0.252166489337209,0.602622409335342,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00070.rds"
0.605645942284043,1.37793097069293,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00071.rds"
0.605645942284043,1.37793097069293,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00072.rds"
0.605645942284043,1.37793097069293,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00073.rds"
0.605645942284043,1.37793097069293,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00074.rds"
0.605645942284043,1.37793097069293,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00075.rds"
0.0835167283720214,0.208252162820997,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00076.rds"
0.0835167283720214,0.208252162820997,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00077.rds"
0.0835167283720214,0.208252162820997,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00078.rds"
0.0835167283720214,0.208252162820997,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00079.rds"
0.0835167283720214,0.208252162820997,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00080.rds"
0.252166489337209,0.602622409335342,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00081.rds"
0.252166489337209,0.602622409335342,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00082.rds"
0.252166489337209,0.602622409335342,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00083.rds"
0.252166489337209,0.602622409335342,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00084.rds"
0.252166489337209,0.602622409335342,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00085.rds"
0.605645942284043,1.37793097069293,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00086.rds"
0.605645942284043,1.37793097069293,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00087.rds"
0.605645942284043,1.37793097069293,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00088.rds"
0.605645942284043,1.37793097069293,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00089.rds"
0.605645942284043,1.37793097069293,4,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00090.rds"
0.0937744742632187,0.235058833172609,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00091.rds"
0.0937744742632187,0.235058833172609,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00092.rds"
0.0937744742632187,0.235058833172609,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00093.rds"
0.0937744742632187,0.235058833172609,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00094.rds"
0.0937744742632187,0.235058833172609,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00095.rds"
0.31081181866246,0.772797700021235,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00096.rds"
0.31081181866246,0.772797700021235,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00097.rds"
0.31081181866246,0.772797700021235,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00098.rds"
0.31081181866246,0.772797700021235,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00099.rds"
0.31081181866246,0.772797700021235,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00100.rds"
0.694321454590945,1.65562459977066,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00101.rds"
0.694321454590945,1.65562459977066,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00102.rds"
0.694321454590945,1.65562459977066,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00103.rds"
0.694321454590945,1.65562459977066,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00104.rds"
0.694321454590945,1.65562459977066,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00105.rds"
0.0937744742632187,0.235058833172609,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00106.rds"
0.0937744742632187,0.235058833172609,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00107.rds"
0.0937744742632187,0.235058833172609,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00108.rds"
0.0937744742632187,0.235058833172609,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00109.rds"
0.0937744742632187,0.235058833172609,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00110.rds"
0.31081181866246,0.772797700021235,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00111.rds"
0.31081181866246,0.772797700021235,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00112.rds"
0.31081181866246,0.772797700021235,5,"ok",NA,"data/simulated/sce/scdesign3/scdesign3_sce_run_00113.rds"
