"axis","simulator","method","failure_mode","threshold_status","threshold_value","mean_flag_rate","min_flag_rate","max_flag_rate","alignment"
"sparsity","splatter","pca_glmpca","step6_3_phantom_clustering","always_below_threshold",NA,0.933333333333333,0.666666666666667,1,"consistent_uniform_high"
"sparsity","splatter","pca_glmpca","step6_4_variance_hijacking","always_below_threshold",NA,0.102802775642282,0.00549450549450549,0.181069958847737,"inconsistent_low_flag_despite_always_failing"
"sparsity","splatter","pca_glmpca","step6_6_neighborhood_collapse","always_below_threshold",NA,0.994604481024234,0.984453589391861,1,"consistent_uniform_high"
"sparsity","splatter","pca_glmpca","step6_7_subspace_rotation_slippage","always_below_threshold",NA,0.993324188385917,0.984453589391861,1,"consistent_uniform_high"
"sparsity","splatter","pca_libnorm","step6_1_technical_separation","interpolated",0.884667859584993,0.0317329675354367,0,0.0704160951074531,"inconsistent_not_increasing"
"sparsity","splatter","pca_libnorm","step6_2_cluster_collapse","interpolated",0.884667859584993,0.82880658436214,0.631001371742112,1,"consistent_increasing"
"sparsity","splatter","pca_libnorm","step6_3_phantom_clustering","interpolated",0.884667859584993,0.933333333333333,0.666666666666667,1,"consistent_increasing"
"sparsity","splatter","pca_libnorm","step6_4_variance_hijacking","interpolated",0.884667859584993,0.0723365340649291,0,0.167352537722908,"inconsistent_not_increasing"
"sparsity","splatter","pca_libnorm","step6_6_neighborhood_collapse","interpolated",0.884667859584993,0.96854138088706,0.907636031092821,1,"consistent_increasing"
"sparsity","splatter","pca_libnorm","step6_7_subspace_rotation_slippage","interpolated",0.884667859584993,0.730488852711075,0.494741655235482,0.997710622710623,"consistent_increasing"
"sparsity","splatter","pca_log","step6_1_technical_separation","interpolated",0.924351146669268,0.0526781631719903,0,0.101966163694559,"inconsistent_not_increasing"
"sparsity","splatter","pca_log","step6_2_cluster_collapse","interpolated",0.924351146669268,0.816710255907787,0.679012345679012,0.985805860805861,"consistent_increasing"
"sparsity","splatter","pca_log","step6_3_phantom_clustering","interpolated",0.924351146669268,0.4,0,1,"inconsistent_not_increasing"
"sparsity","splatter","pca_log","step6_4_variance_hijacking","interpolated",0.924351146669268,0.180367883145661,0.0265567765567766,0.294924554183813,"inconsistent_not_increasing"
"sparsity","splatter","pca_log","step6_6_neighborhood_collapse","interpolated",0.924351146669268,0.860772697809735,0.801554641060814,0.938644688644689,"consistent_increasing"
"sparsity","splatter","pca_log","step6_7_subspace_rotation_slippage","interpolated",0.924351146669268,0.811464096031997,0.743941472336534,0.936355311355311,"consistent_increasing"
"sparsity","splatter","pca_raw","step6_1_technical_separation","interpolated",0.797521384121694,0.0323731138545953,0,0.087334247828075,"inconsistent_not_increasing"
"sparsity","splatter","pca_raw","step6_2_cluster_collapse","interpolated",0.797521384121694,0.873799725651577,0.717421124828532,1,"consistent_increasing"
"sparsity","splatter","pca_raw","step6_3_phantom_clustering","interpolated",0.797521384121694,1,1,1,"inconsistent_not_increasing"
"sparsity","splatter","pca_raw","step6_4_variance_hijacking","interpolated",0.797521384121694,0.889537828426717,0.822344322344322,0.923639689071788,"inconsistent_not_increasing"
"sparsity","splatter","pca_raw","step6_6_neighborhood_collapse","interpolated",0.797521384121694,0.993141289437586,0.97896662094193,1,"consistent_increasing"
"sparsity","splatter","pca_raw","step6_7_subspace_rotation_slippage","interpolated",0.797521384121694,0.999450675067959,0.998626373626374,1,"inconsistent_not_increasing"
"sparsity","splatter","pca_sctransform_v2","step6_1_technical_separation","interpolated",0.876557924486623,0.0526056062742977,0.0105359596885021,0.078826764436297,"inconsistent_not_increasing"
"sparsity","splatter","pca_sctransform_v2","step6_2_cluster_collapse","interpolated",0.876557924486623,0.792913921926268,0.653406492912666,0.945970695970696,"consistent_increasing"
"sparsity","splatter","pca_sctransform_v2","step6_3_phantom_clustering","interpolated",0.876557924486623,0.0666666666666667,0,0.333333333333333,"consistent_increasing"
"sparsity","splatter","pca_sctransform_v2","step6_4_variance_hijacking","interpolated",0.876557924486623,0.141045735881759,0.021530004580852,0.225939505041247,"inconsistent_not_increasing"
"sparsity","splatter","pca_sctransform_v2","step6_6_neighborhood_collapse","interpolated",0.876557924486623,0.982401886420902,0.954628780934922,1,"consistent_increasing"
"sparsity","splatter","pca_sctransform_v2","step6_7_subspace_rotation_slippage","interpolated",0.876557924486623,0.94037456599185,0.844078646547782,1,"consistent_increasing"
"sparsity","splatter","pca_shiftedlog","step6_1_technical_separation","interpolated",0.929905116424021,0.0504819940005125,0,0.0973936899862826,"inconsistent_not_increasing"
"sparsity","splatter","pca_shiftedlog","step6_2_cluster_collapse","interpolated",0.929905116424021,0.806837481220197,0.651577503429355,0.987637362637363,"consistent_increasing"
"sparsity","splatter","pca_shiftedlog","step6_3_phantom_clustering","interpolated",0.929905116424021,0.133333333333333,0,0.666666666666667,"consistent_increasing"
"sparsity","splatter","pca_shiftedlog","step6_4_variance_hijacking","interpolated",0.929905116424021,0.130059241170352,0.00915750915750916,0.213991769547325,"inconsistent_not_increasing"
