"axis","method","pc","spearman_rho","monotonic_increasing","monotonic_decreasing","first_level_crossing_30deg","always_above_30deg_ceiling_effect","min_angle","max_angle"
"dropout","pca_sctransform_v2","angle_pc3",1,TRUE,FALSE,"none",TRUE,68.4069289972599,71.1105885076333
"dropout","pca_shiftedlog","angle_pc1",0.5,FALSE,FALSE,"none",TRUE,55.4212255128151,60.518689891458
"dropout","pca_shiftedlog","angle_pc2",0.5,FALSE,FALSE,"none",TRUE,56.3531898522786,62.4269639026529
"dropout","pca_shiftedlog","angle_pc3",0.5,FALSE,FALSE,"none",TRUE,59.5567991067875,64.9933719821145
"dropout","pca_log","angle_pc1",0.5,FALSE,FALSE,"none",TRUE,62.7791745494206,65.5210107669991
"dropout","pca_log","angle_pc2",1,TRUE,FALSE,"none",TRUE,63.7151460025019,67.0298972675593
"dropout","pca_log","angle_pc3",0.5,FALSE,FALSE,"none",TRUE,65.7221640507956,68.2669331686441
"separability","pca_raw","angle_pc1",1,TRUE,FALSE,"high",TRUE,50.7633503553361,53.5665674941492
"separability","pca_raw","angle_pc2",1,TRUE,FALSE,"high",TRUE,37.7045561873962,58.0442760390927
"separability","pca_raw","angle_pc3",1,TRUE,FALSE,"high",TRUE,47.2906224187409,69.3898686072206
"separability","pca_glmpca","angle_pc1",1,TRUE,FALSE,"high",TRUE,71.8647354050211,79.2786451978289
"separability","pca_glmpca","angle_pc2",1,TRUE,FALSE,"high",TRUE,73.2160730923117,79.9232788972067
"separability","pca_glmpca","angle_pc3",1,TRUE,FALSE,"high",TRUE,73.7614422602974,80.5475014446671
"separability","pca_libnorm","angle_pc1",1,TRUE,FALSE,"high",TRUE,35.244498642421,62.6235446524534
"separability","pca_libnorm","angle_pc2",1,TRUE,FALSE,"high",TRUE,39.6196341082792,64.860337147597
"separability","pca_libnorm","angle_pc3",1,TRUE,FALSE,"high",TRUE,50.2509697742045,67.6311473448071
"separability","pca_sctransform_v2","angle_pc1",1,TRUE,FALSE,"high",TRUE,57.8062380196019,74.688454732458
"separability","pca_sctransform_v2","angle_pc2",1,TRUE,FALSE,"high",TRUE,59.1382700406793,79.1452709765368
"separability","pca_sctransform_v2","angle_pc3",1,TRUE,FALSE,"high",TRUE,62.6378344950846,78.6860400556616
"separability","pca_shiftedlog","angle_pc1",1,TRUE,FALSE,"high",TRUE,44.2487730777055,71.7250889750032
"separability","pca_shiftedlog","angle_pc2",1,TRUE,FALSE,"high",TRUE,47.5180534148423,70.5250572609657
"separability","pca_shiftedlog","angle_pc3",1,TRUE,FALSE,"high",TRUE,52.5288765077292,70.870084900523
"separability","pca_log","angle_pc1",1,TRUE,FALSE,"high",TRUE,53.3221343630847,75.9079747479493
