"n_cells","null_mean","null_95pct","null_99pct","null_max"
200,0.0971997449936249,0.173213830345759,0.202028935723393,0.243873096827421
1000,0.04163353997354,0.0704754488754489,0.083419221979222,0.0906705306705307
1485,0.0349897755364882,0.0619662810222498,0.0842905612153942,0.0953697678830364
2009,0.0305033400198601,0.0530341282803823,0.061467786099497,0.0659549968295433
2403,0.0256439776965096,0.0450300398710846,0.0620248812582743,0.0639662526355626
2695,0.0246373758000577,0.0419896685852141,0.0554278481431559,0.0601756324512655
2929,0.0243016892286778,0.0448172989370758,0.0523731785607634,0.063126022003011
5000,0.0189410650235626,0.036514424511777,0.0412166170112247,0.0435917339676694
8569,0.0144652470974074,0.0251727278878297,0.029997025511321,0.0357400390013952
20562,0.00919036238545796,0.01783813508583,0.0223060965243873,0.025478261803569
61292,0.00528581494381554,0.00983367465010206,0.0123627857306267,0.0133123632521677
65690,0.00512756461207991,0.0098778282198187,0.0116775849070641,0.0125445705452965
