"method","source","run_id","replicate","sparsity","n_cells","embedding_dim","ari_vs_random","ch_index","ch_noise_95pct","phantom_flag_ari","phantom_flag_ch_literal","phantom_flag_ch_relative","phantom_flag_any_relative","status","error_msg"
"pca_raw","symsim",10937,2,0.8,1000,50,0.00360691050734972,261.601916056181,18.2277063849438,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_raw","symsim",10937,3,0.8,1000,50,0.00176142589229158,254.935236699841,18.2277063849438,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_raw","symsim",10938,1,0.9,1000,50,0.00106591156189114,326.563051234247,18.2277063849438,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_raw","symsim",10938,2,0.9,1000,50,0.000922162257786604,245.011937698795,18.2277063849438,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_raw","symsim",10938,3,0.9,1000,50,0.00136145849566451,285.120395428333,18.2277063849438,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_raw","symsim",10939,1,0.95,1000,50,-0.00105236172904135,399.021070476512,18.2277063849438,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_raw","symsim",10939,2,0.95,1000,50,-0.0011620755859382,302.274531035787,18.2277063849438,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_raw","symsim",10939,3,0.95,1000,50,0.000255920218353285,339.759471124532,18.2277063849438,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_raw","symsim",10940,1,0.98,1000,50,-0.000296932949083949,480.277431099923,18.2277063849438,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_raw","symsim",10940,2,0.98,1000,50,0.00212077027574567,406.748556739984,18.2277063849438,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_raw","symsim",10940,3,0.98,1000,50,-0.00111423476757098,418.896273728901,18.2277063849438,FALSE,TRUE,TRUE,TRUE,"ok",NA
