"pre_pca_signal_fraction","post_pca_signal_fraction","ratio","over_smoothing_flag","status","error_msg","method","file_path","target_band","mean_abs_log2fc"
0.0368607444191104,0.0854570673787593,2.31837605901562,FALSE,"ok",NA,"pca_log","data/simulated/sce/scdesign3/scdesign3_sce_run_00068.rds","0.25",0.252166489337209
0.0467844885650229,0.0827787572238929,1.76936330315643,FALSE,"ok",NA,"pca_shiftedlog","data/simulated/sce/scdesign3/scdesign3_sce_run_00068.rds","0.25",0.252166489337209
0.0390516765736272,0.040794095947927,1.0446182988076,FALSE,"ok",NA,"pca_raw","data/simulated/sce/scdesign3/scdesign3_sce_run_00069.rds","0.25",0.252166489337209
0.039048459406499,0.0438039784010293,1.12178506058395,FALSE,"ok",NA,"pca_libnorm","data/simulated/sce/scdesign3/scdesign3_sce_run_00069.rds","0.25",0.252166489337209
0.0306576083992182,0.0635724741243313,2.07362796525095,FALSE,"ok",NA,"pca_log","data/simulated/sce/scdesign3/scdesign3_sce_run_00069.rds","0.25",0.252166489337209
0.0378749986143839,0.0608680670797052,1.60707773746529,FALSE,"ok",NA,"pca_shiftedlog","data/simulated/sce/scdesign3/scdesign3_sce_run_00069.rds","0.25",0.252166489337209
0.0297278822718741,0.0303979075271209,1.02253861372025,FALSE,"ok",NA,"pca_raw","data/simulated/sce/scdesign3/scdesign3_sce_run_00070.rds","0.25",0.252166489337209
0.0247497955502508,0.0259275278158846,1.04758553513069,FALSE,"ok",NA,"pca_libnorm","data/simulated/sce/scdesign3/scdesign3_sce_run_00070.rds","0.25",0.252166489337209
0.022115209536368,0.0338296927210978,1.52970256354413,FALSE,"ok",NA,"pca_log","data/simulated/sce/scdesign3/scdesign3_sce_run_00070.rds","0.25",0.252166489337209
0.0242585505418836,0.0279484872013425,1.15210870299477,FALSE,"ok",NA,"pca_shiftedlog","data/simulated/sce/scdesign3/scdesign3_sce_run_00070.rds","0.25",0.252166489337209
0.0576790025789935,0.0614752605866647,1.06581698430849,FALSE,"ok",NA,"pca_raw","data/simulated/sce/scdesign3/scdesign3_sce_run_00081.rds","0.25",0.252166489337209
0.0529767337433133,0.0620470053430712,1.17121235982018,FALSE,"ok",NA,"pca_libnorm","data/simulated/sce/scdesign3/scdesign3_sce_run_00081.rds","0.25",0.252166489337209
0.0388803538809215,0.0923493599312334,2.37521912002321,FALSE,"ok",NA,"pca_log","data/simulated/sce/scdesign3/scdesign3_sce_run_00081.rds","0.25",0.252166489337209
0.0489436443031011,0.0884105496444999,1.80637447217837,FALSE,"ok",NA,"pca_shiftedlog","data/simulated/sce/scdesign3/scdesign3_sce_run_00081.rds","0.25",0.252166489337209
0.0444001707678199,0.0469634424209687,1.05773112149845,FALSE,"ok",NA,"pca_raw","data/simulated/sce/scdesign3/scdesign3_sce_run_00082.rds","0.25",0.252166489337209
