"row_type","n_cells","k_used","batch","n_batch_levels","null_mean","null_95pct","null_99pct","null_max"
"simulated",200,2,"simple",2,0.000477869260999141,0.0105894133193968,0.0150161767262631,0.0255080709192721
"simulated",200,4,"simple",2,0.000143274169042584,0.00894465543409511,0.0131027910514307,0.0155382851458974
"simulated",200,5,"simple",2,0.000247687330413372,0.00887739923546491,0.012571285327222,0.018689758551605
"simulated",1000,2,"simple",2,8.48173042627717e-05,0.0022358435630014,0.00392232959009844,0.0059400476189513
"simulated",1000,4,"simple",2,0.000106143415818237,0.00185045894954842,0.00277617308018777,0.00447597843606929
"simulated",1000,5,"simple",2,4.30523620914837e-05,0.00183473736987129,0.00268195289918338,0.00384225155716198
"simulated",1485,2,"simple",2,3.53001454203445e-05,0.00145472385301439,0.0024704264442317,0.00566468939217341
"simulated",2009,4,"simple",2,-6.82200589655797e-05,0.000596113041061161,0.00105840120181597,0.00134090876414198
"simulated",2695,5,"simple",2,-3.5848444484063e-06,0.000655142051426283,0.000903177364736235,0.00168132624657104
"simulated",200,2,"complex",3,-0.000491069082767782,0.00748543165476157,0.0112565277445594,0.0204959039390317
"simulated",200,4,"complex",3,0.000403682048997543,0.0125357230680519,0.0201194956275134,0.0227852552054496
"simulated",200,5,"complex",3,0.000600250042890319,0.0123219221708421,0.0163080629643566,0.0179707853812777
"simulated",1000,2,"complex",3,-1.70157561230837e-05,0.00198575888628532,0.00368373330286442,0.00403071525842179
"simulated",1000,4,"complex",3,5.53545392231581e-05,0.00260523602961832,0.00321584350286036,0.00503901650327494
"simulated",1000,5,"complex",3,-1.01242558242491e-05,0.00223460408280786,0.00327476834994324,0.00367995869596398
"simulated",1485,2,"complex",3,-4.48649749388897e-05,0.00110623393280898,0.00175173480933851,0.00221203902431652
"simulated",2009,4,"complex",3,-4.08287679344759e-05,0.00109238308745837,0.00129201736382209,0.00163303118836046
"simulated",2695,5,"complex",3,-7.82365631890866e-05,0.000717432333164865,0.0010935137219585,0.00203382304044089
"simulated",5000,5,"simple",2,5.85343687479142e-06,0.00029998992177524,0.000501327375651725,0.000773200450051229
"simulated",5000,5,"complex",3,-9.50689946516966e-06,0.000399184781521577,0.000822557398673595,0.00108926014649928
"real",8569,14,NA,4,-2.60176976420449e-05,0.000306763517208326,0.00065851354159617,0.000865146532124617
"real",2403,10,NA,4,3.31543401291023e-06,0.00109904923240151,0.00166392488062535,0.00307951918511511
"real",2929,14,NA,10,-0.000112679615474259,0.00169400421282285,0.00267977958340246,0.00377362408160928
"real",61292,34,NA,4,-3.78726474779663e-06,4.46397264776231e-05,6.22776615127528e-05,8.1622128193928e-05
"real",20562,23,NA,341,-1.12429547363515e-05,0.000928985650250673,0.0012766879798568,0.0015909061570084
