"n_cells","k_used","null_mean","null_95pct","null_99pct","null_max"
8569,14,-2.60176976420449e-05,0.000306763517208326,0.00065851354159617,0.000865146532124617
2403,10,3.31543401291023e-06,0.00109904923240151,0.00166392488062535,0.00307951918511511
65690,5,6.78321478708461e-07,4.79206561709989e-05,7.00440768280362e-05,7.24426100597569e-05
200,2,-0.000196841792786255,0.00779340303216233,0.0245873345119503,0.0286905829219238
200,4,-0.000332454554248779,0.0126141277847438,0.0245088109247808,0.0374902992937128
200,5,0.000444604301585671,0.0160648523384838,0.0287840097011592,0.0340776590378105
1000,2,1.9795247065636e-06,0.00163704516955469,0.00272812189045962,0.00313629162217457
1000,4,-8.08096753385733e-05,0.00295126320898488,0.00433578775022658,0.00647347296657473
1000,5,-2.50333263876484e-05,0.00284189553132046,0.00395448068634941,0.00691570855075132
1485,2,0.000120457094972424,0.00133034321204057,0.00195110451585839,0.0024516544524445
2009,4,6.60550676566564e-05,0.00168388851406551,0.00222073825796869,0.00333763528971878
2695,5,-4.61825112674459e-05,0.000972833802001508,0.00117458334888096,0.00145041547990729
2929,14,5.1618164062877e-06,0.00088342323387098,0.00121867707842043,0.00136577330748154
5000,5,-8.17394119970288e-06,0.000433525453134085,0.000720395352925678,0.00109327715182672
61292,34,-3.78726474779663e-06,4.46397264776231e-05,6.22776615127528e-05,8.1622128193928e-05
20562,23,-2.72616949824981e-06,0.000158013651124307,0.000182695714053339,0.00026223969820227
